MPAN,DNO ID (J),Supplier ID (X),MOP ID (M),Asset Cond Rep Date,Asset Condition Code,ALLOCATED
1,SPOW,EOND,MORR,18/04/2023,B05,
2,SPOW,IMPO,UPLD,09/05/2023,B01,
3,SPOW,MRCY,UPLD,15/05/2023,B04,
4,SPOW,TILL,BGAS,05/06/2023,B08,
5,SPOW,BGAS,BGAS,06/06/2023,B03,
6,SPOW,BIZZ,UKDC,09/06/2023,B03,
7,SPOW,BGAS,BGAS,20/06/2023,B03,
8,SPOW,TILL,BGAS,27/06/2023,B08,
9,SPOW,OVOE,IHTL,06/07/2023,B07,
10,SPOW,OVOE,IHTL,06/02/2023,B11,
11,SPOW,SPOW,BMSL,11/07/2023,B07,
12,SPOW,EOND,MORR,13/07/2023,B05,
13,SPOW,BGAS,BGAS,20/07/2023,B01,
14,SPOW,OVOE,IHTL,21/07/2023,B01,
15,SPOW,GESL,AESM,27/04/2023,B07,
16,SPOW,LOND,SWEB,28/07/2023,B08,
17,SPOW,LOND,SWEB,28/07/2023,B08,
18,SPOW,LOND,LOND,08/08/2023,B07,
19,SPOW,LOND,SWEB,15/08/2023,B07,
20,SPOW,FRST,UPLD,15/08/2023,B07,
21,SPOW,FRST,UPLD,15/08/2023,B05,
22,SPOW,TILL,BGAS,16/08/2023,B07,
23,SPOW,SCAF,UKDC,31/03/2023,B07,
24,SPOW,MRCY,UPLD,18/08/2023,B11,
25,SPOW,BGAS,BGAS,29/08/2023,B07,
26,SPOW,SPOW,BMSL,11/09/2023,B11,
27,SPOW,BNRG,LBSL,14/09/2023,B07,
28,SPOW,SPOW,BMSL,21/09/2023,B07,
29,SPOW,MRCY,LMSL,20/09/2023,B11,
30,SPOW,LOND,LOND,27/09/2023,B11,
31,SPOW,TILL,BGAS,28/09/2023,B07,
32,SPOW,LOND,LOND,22/09/2023,B08,
33,SPOW,BGAS,BGAS,29/09/2023,B07,
34,SPOW,TILL,BGAS,29/09/2023,B07,
35,SPOW,EOND,MORR,28/09/2023,B07,
36,SPOW,SPOW,BMSL,02/10/2023,B07,
37,SPOW,EOND,MORR,01/09/2023,B05,
38,SPOW,LOND,SWEB,03/10/2023,B07,
39,SPOW,GESL,AESM,27/09/2023,B07,
40,SPOW,TNDO,UKDC,29/11/2022,B03,
41,SPOW,BGAS,BGAS,05/10/2023,B03,
42,SPOW,TILL,BGAS,05/10/2023,B07,
43,SPOW,BGAS,BGAS,05/10/2023,B07,
44,SPOW,BGAS,BGAS,05/10/2023,B07,
45,SPOW,IMPO,BMET,27/09/2023,B12,
46,SPOW,MRCY,LMSL,05/10/2023,B02,
47,SPOW,MRCY,LMSL,05/10/2023,B07,
48,SPOW,BNRG,LBSL,05/10/2023,B07,
49,SPOW,LOND,LOND,04/10/2023,B07,
50,SPOW,EOND,NATP,06/10/2023,B12,
51,SPOW,MRCY,LMSL,06/10/2023,B02,
52,SPOW,SPOW,BMSL,09/10/2023,B11,
53,SPOW,MRCY,LMSL,09/10/2023,B02,
54,SPOW,LOND,LOND,28/09/2023,B02,
55,SPOW,MRCY,LMSL,10/10/2023,B02,
56,SPOW,IMPO,BMET,06/10/2023,B12,
57,SPOW,BGAS,BGAS,12/10/2023,B07,
58,SPOW,SPOW,BMSL,13/10/2023,B01,
59,SPOW,BGAS,BGAS,16/10/2023,B07,
60,SPOW,LOND,LOND,16/10/2023,B07,
61,SPOW,BGAS,BGAS,16/10/2023,B08,
62,SPOW,EOND,MORR,15/10/2023,B02,
63,SPOW,EOND,MORR,11/10/2023,B02,
64,SPOW,BNRG,LBSL,16/10/2023,B02,
65,SPOW,SPOW,BMSL,18/10/2023,B11,
66,SPOW,BGAS,BGAS,23/10/2023,B03,
67,SPOW,MRCY,LMSL,20/10/2023,B04,
68,SPOW,MRCY,LMSL,20/10/2023,B07,
69,SPOW,EGDX,UPLD,24/10/2023,B07,
70,SPOW,OVOE,IHTL,10/10/2023,B07,
71,SPOW,BNRG,HLPR,30/10/2023,B07,
72,SPOW,OVOE,IHTL,27/10/2023,B03,
73,SPOW,OVOE,IHTL,27/10/2023,B01,
74,SPOW,LOND,LOND,30/10/2023,B07,
75,SPOW,EDFE,LOND,30/10/2023,B07,
76,SPOW,IMPO,BMET,23/10/2023,B07,
77,SPOW,THRE,BMET,30/10/2023,B03,
78,SPOW,BGAS,BGAS,31/10/2023,B03,
79,SPOW,TILL,BGAS,31/10/2023,B03,
80,SPOW,SPOW,BMSL,01/11/2023,B02,
81,SPOW,KENS,YUSL,01/11/2023,B01,
82,SPOW,SPOW,BMSL,02/11/2023,B02,
83,SPOW,REGE,LMSL,01/11/2023,B07,
84,SPOW,EOND,MORR,02/11/2023,B07,
85,SPOW,LOND,LOND,19/10/2023,B12,
86,SPOW,LOND,LOND,03/11/2023,B03,
87,SPOW,TILL,BGAS,03/11/2023,B02,
88,SPOW,BGAS,BGAS,03/11/2023,B03,
89,SPOW,LOND,LOND,16/10/2023,B07,
90,SPOW,OVOE,IHTL,03/11/2023,B07,
91,SPOW,EDFE,LOND,06/11/2023,B07,
92,SPOW,TILL,BGAS,06/11/2023,B03,
93,SPOW,MRCY,LMSL,03/11/2023,B08,
94,SPOW,TILL,BGAS,07/11/2023,B01,
95,SPOW,BGAS,BGAS,09/11/2023,B03,
96,SPOW,MRCY,LMSL,08/11/2023,B07,
97,SPOW,SPOW,BMSL,09/11/2023,B07,
98,SPOW,MRCY,LMSL,07/11/2023,B07,
99,SPOW,BGAS,BGAS,10/11/2023,B07,
100,SPOW,TILL,BGAS,10/11/2023,B07,
101,SPOW,GETW,UMOL,09/11/2023,B07,
102,SPOW,REGE,LMSL,09/11/2023,B11,
103,SPOW,EDFE,LOND,10/11/2023,B11,
104,SPOW,BGAS,BGAS,13/11/2023,B01,
105,SPOW,BGAS,BGAS,13/11/2023,B03,
106,SPOW,BGAS,BGAS,13/11/2023,B07,
107,SPOW,LOND,LOND,27/10/2023,B07,
108,SPOW,LOND,LOND,27/10/2023,B07,
109,SPOW,BNRG,LBSL,10/11/2023,B07,
110,SPOW,SPOW,BMSL,13/11/2023,B02,
111,SPOW,BGAS,BGAS,14/11/2023,B02,
112,SPOW,EBES,BMET,08/11/2023,B03,
113,SPOW,SPOW,BMSL,15/11/2023,B08,
114,SPOW,BGAS,BGAS,16/11/2023,B07,
115,SPOW,OVOE,IHTL,15/11/2023,B02,
116,SPOW,GETW,UMOL,17/11/2023,B02,
117,SPOW,REGE,LMSL,16/11/2023,B07,
118,SPOW,FRST,UPLD,17/11/2023,B11,
119,SPOW,BGAS,BGAS,20/11/2023,B02,
120,SPOW,BGAS,BGAS,21/11/2023,B03,
121,SPOW,MRCY,LMSL,22/11/2023,B02,
